Case,Asaba_Rad,Full_Case
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'grandmother_father': '1/6'}","{'paternal_halfbrother': '5/6', 'fathers_paternal_halfbrother': '0', 'grandmother_father': '1/6'}",,"{'paternal_halfbrother': 5.0, 'fathers_paternal_halfbrother': 0, 'grandmother_father': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'grandmother_mother': '1/6'}","{'paternal_halfbrother': '5/6', 'fathers_paternal_halfbrother': '0', 'grandmother_mother': '1/6'}",,"{'paternal_halfbrother': 5.0, 'fathers_paternal_halfbrother': 0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'sister': '1/2'}","{'paternal_halfbrother': '1/2', 'fathers_paternal_halfbrother': '0', 'sister': '1/2'}",,"{'paternal_halfbrother': 1.0, 'fathers_paternal_halfbrother': 0, 'sister': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'sister_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'fathers_paternal_halfbrother': '0', 'sister_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'fathers_paternal_halfbrother': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '2/3', 'fathers_paternal_halfbrother': '0', 'paternal_halfsister': '1/3'}",,"{'paternal_halfbrother': 2.0, 'fathers_paternal_halfbrother': 0, 'paternal_halfsister': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/2', 'fathers_paternal_halfbrother': '0', 'paternal_halfsister_x2': '1/2'}",,"{'paternal_halfbrother': 2.0, 'fathers_paternal_halfbrother': 0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '5/6', 'fathers_paternal_halfbrother': '0', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 5.0, 'fathers_paternal_halfbrother': 0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '2/3', 'fathers_paternal_halfbrother': '0', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 4.0, 'fathers_paternal_halfbrother': 0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'wife': '1/4'}","{'paternal_halfbrother': '3/4', 'fathers_paternal_halfbrother': '0', 'wife': '1/4'}",,"{'paternal_halfbrother': 3.0, 'fathers_paternal_halfbrother': 0, 'wife': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'fathers_paternal_halfbrother': '0', 'mutiqa': '0'}","{'paternal_halfbrother': '1', 'fathers_paternal_halfbrother': '0', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'fathers_paternal_halfbrother': 0, 'mutiqa': 0, 'total_shares': 1.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'son_of_fathers_paternal_halfbrother': '0'}","{'paternal_halfbrother': '1', 'son_of_fathers_brother': '0', 'son_of_fathers_paternal_halfbrother': '0'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'son_of_fathers_paternal_halfbrother': 0, 'total_shares': 1.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'husband': '1/2'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_brother': '0', 'husband': '1/2'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'husband': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'atiq': '0'}","{'paternal_halfbrother': '1', 'son_of_fathers_brother': '0', 'atiq': '0'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'atiq': 0, 'total_shares': 1.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'daughter': '1/2'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_brother': '0', 'daughter': '1/2'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'daughter': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'daughter_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'son_of_fathers_brother': '0', 'daughter_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'daughter_of_son': '1/2'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_brother': '0', 'daughter_of_son': '1/2'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'daughter_of_son': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'daughter_of_son_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'son_of_fathers_brother': '0', 'daughter_of_son_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'mother': '1/6'}","{'paternal_halfbrother': '5/6', 'son_of_fathers_brother': '0', 'mother': '1/6'}",,"{'paternal_halfbrother': 5.0, 'son_of_fathers_brother': 0, 'mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'grandmother_father': '1/6'}","{'paternal_halfbrother': '5/6', 'son_of_fathers_brother': '0', 'grandmother_father': '1/6'}",,"{'paternal_halfbrother': 5.0, 'son_of_fathers_brother': 0, 'grandmother_father': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'grandmother_mother': '1/6'}","{'paternal_halfbrother': '5/6', 'son_of_fathers_brother': '0', 'grandmother_mother': '1/6'}",,"{'paternal_halfbrother': 5.0, 'son_of_fathers_brother': 0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'sister': '1/2'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_brother': '0', 'sister': '1/2'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'sister': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'sister_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'son_of_fathers_brother': '0', 'sister_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '2/3', 'son_of_fathers_brother': '0', 'paternal_halfsister': '1/3'}",,"{'paternal_halfbrother': 2.0, 'son_of_fathers_brother': 0, 'paternal_halfsister': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_brother': '0', 'paternal_halfsister_x2': '1/2'}",,"{'paternal_halfbrother': 2.0, 'son_of_fathers_brother': 0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '5/6', 'son_of_fathers_brother': '0', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 5.0, 'son_of_fathers_brother': 0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '2/3', 'son_of_fathers_brother': '0', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 4.0, 'son_of_fathers_brother': 0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'wife': '1/4'}","{'paternal_halfbrother': '3/4', 'son_of_fathers_brother': '0', 'wife': '1/4'}",,"{'paternal_halfbrother': 3.0, 'son_of_fathers_brother': 0, 'wife': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_brother': '0', 'mutiqa': '0'}","{'paternal_halfbrother': '1', 'son_of_fathers_brother': '0', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_brother': 0, 'mutiqa': 0, 'total_shares': 1.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'husband': '1/2'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_paternal_halfbrother': '0', 'husband': '1/2'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'husband': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'atiq': '0'}","{'paternal_halfbrother': '1', 'son_of_fathers_paternal_halfbrother': '0', 'atiq': '0'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'atiq': 0, 'total_shares': 1.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'daughter': '1/2'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_paternal_halfbrother': '0', 'daughter': '1/2'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'daughter': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'daughter_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'son_of_fathers_paternal_halfbrother': '0', 'daughter_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'daughter_of_son': '1/2'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_paternal_halfbrother': '0', 'daughter_of_son': '1/2'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'daughter_of_son': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'daughter_of_son_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'son_of_fathers_paternal_halfbrother': '0', 'daughter_of_son_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'mother': '1/6'}","{'paternal_halfbrother': '5/6', 'son_of_fathers_paternal_halfbrother': '0', 'mother': '1/6'}",,"{'paternal_halfbrother': 5.0, 'son_of_fathers_paternal_halfbrother': 0, 'mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'grandmother_father': '1/6'}","{'paternal_halfbrother': '5/6', 'son_of_fathers_paternal_halfbrother': '0', 'grandmother_father': '1/6'}",,"{'paternal_halfbrother': 5.0, 'son_of_fathers_paternal_halfbrother': 0, 'grandmother_father': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'grandmother_mother': '1/6'}","{'paternal_halfbrother': '5/6', 'son_of_fathers_paternal_halfbrother': '0', 'grandmother_mother': '1/6'}",,"{'paternal_halfbrother': 5.0, 'son_of_fathers_paternal_halfbrother': 0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'sister': '1/2'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_paternal_halfbrother': '0', 'sister': '1/2'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'sister': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'sister_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'son_of_fathers_paternal_halfbrother': '0', 'sister_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '2/3', 'son_of_fathers_paternal_halfbrother': '0', 'paternal_halfsister': '1/3'}",,"{'paternal_halfbrother': 2.0, 'son_of_fathers_paternal_halfbrother': 0, 'paternal_halfsister': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/2', 'son_of_fathers_paternal_halfbrother': '0', 'paternal_halfsister_x2': '1/2'}",,"{'paternal_halfbrother': 2.0, 'son_of_fathers_paternal_halfbrother': 0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '5/6', 'son_of_fathers_paternal_halfbrother': '0', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 5.0, 'son_of_fathers_paternal_halfbrother': 0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '2/3', 'son_of_fathers_paternal_halfbrother': '0', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 4.0, 'son_of_fathers_paternal_halfbrother': 0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'wife': '1/4'}","{'paternal_halfbrother': '3/4', 'son_of_fathers_paternal_halfbrother': '0', 'wife': '1/4'}",,"{'paternal_halfbrother': 3.0, 'son_of_fathers_paternal_halfbrother': 0, 'wife': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'son_of_fathers_paternal_halfbrother': '0', 'mutiqa': '0'}","{'paternal_halfbrother': '1', 'son_of_fathers_paternal_halfbrother': '0', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'mutiqa': 0, 'total_shares': 1.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'atiq': '0'}","{'paternal_halfbrother': '1/2', 'husband': '1/2', 'atiq': '0'}",,"{'paternal_halfbrother': 1.0, 'husband': 1.0, 'atiq': 0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/4', 'daughter': '1/2'}","{'paternal_halfbrother': '1/4', 'husband': '1/4', 'daughter': '1/2'}",,"{'paternal_halfbrother': 1.0, 'husband': 1.0, 'daughter': 2.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/4', 'daughter_x2': '2/3'}","{'paternal_halfbrother': '1/12', 'husband': '1/4', 'daughter_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'husband': 3.0, 'daughter_1': 4.0, 'daughter_2': 4.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/4', 'daughter_of_son': '1/2'}","{'paternal_halfbrother': '1/4', 'husband': '1/4', 'daughter_of_son': '1/2'}",,"{'paternal_halfbrother': 1.0, 'husband': 1.0, 'daughter_of_son': 2.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/4', 'daughter_of_son_x2': '2/3'}","{'paternal_halfbrother': '1/12', 'husband': '1/4', 'daughter_of_son_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'husband': 3.0, 'daughter_of_son_1': 4.0, 'daughter_of_son_2': 4.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'mother': '1/3'}","{'paternal_halfbrother': '1/6', 'husband': '1/2', 'mother': '1/3'}",,"{'paternal_halfbrother': 1.0, 'husband': 3.0, 'mother': 2.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'grandmother_father': '1/6'}","{'paternal_halfbrother': '1/3', 'husband': '1/2', 'grandmother_father': '1/6'}",,"{'paternal_halfbrother': 2.0, 'husband': 3.0, 'grandmother_father': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'grandmother_mother': '1/6'}","{'paternal_halfbrother': '1/3', 'husband': '1/2', 'grandmother_mother': '1/6'}",,"{'paternal_halfbrother': 2.0, 'husband': 3.0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'sister': '1/2'}","{'paternal_halfbrother': '0', 'husband': '1/2', 'sister': '1/2'}",,"{'paternal_halfbrother': 0, 'husband': 1.0, 'sister': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'sister_x2': '2/3'}","{'paternal_halfbrother': '-1/6', 'husband': '1/2', 'sister_x2': '2/3'}",,"{'paternal_halfbrother': 0, 'husband': 3.0, 'sister_1': 2.0, 'sister_2': 2.0, 'total_shares': 7.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '1/3', 'husband': '1/2', 'paternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 2.0, 'husband': 3.0, 'paternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/4', 'husband': '1/2', 'paternal_halfsister_x2': '1/4'}",,"{'paternal_halfbrother': 2.0, 'husband': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 8.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '1/3', 'husband': '1/2', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 2.0, 'husband': 3.0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '1/6', 'husband': '1/2', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 1.0, 'husband': 3.0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'husband': '1/2', 'mutiqa': '0'}","{'paternal_halfbrother': '1/2', 'husband': '1/2', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'husband': 1.0, 'mutiqa': 0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'daughter': '1/2'}","{'paternal_halfbrother': '1/2', 'atiq': '0', 'daughter': '1/2'}",,"{'paternal_halfbrother': 1.0, 'atiq': 0, 'daughter': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'daughter_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'atiq': '0', 'daughter_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'atiq': 0, 'daughter_1': 1.0, 'daughter_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'daughter_of_son': '1/2'}","{'paternal_halfbrother': '1/2', 'atiq': '0', 'daughter_of_son': '1/2'}",,"{'paternal_halfbrother': 1.0, 'atiq': 0, 'daughter_of_son': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'daughter_of_son_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'atiq': '0', 'daughter_of_son_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'atiq': 0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'mother': '1/3'}","{'paternal_halfbrother': '2/3', 'atiq': '0', 'mother': '1/3'}",,"{'paternal_halfbrother': 2.0, 'atiq': 0, 'mother': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'grandmother_father': '1/6'}","{'paternal_halfbrother': '5/6', 'atiq': '0', 'grandmother_father': '1/6'}",,"{'paternal_halfbrother': 5.0, 'atiq': 0, 'grandmother_father': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'grandmother_mother': '1/6'}","{'paternal_halfbrother': '5/6', 'atiq': '0', 'grandmother_mother': '1/6'}",,"{'paternal_halfbrother': 5.0, 'atiq': 0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'sister': '1/2'}","{'paternal_halfbrother': '1/2', 'atiq': '0', 'sister': '1/2'}",,"{'paternal_halfbrother': 1.0, 'atiq': 0, 'sister': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'sister_x2': '2/3'}","{'paternal_halfbrother': '1/3', 'atiq': '0', 'sister_x2': '2/3'}",,"{'paternal_halfbrother': 1.0, 'atiq': 0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '2/3', 'atiq': '0', 'paternal_halfsister': '1/3'}",,"{'paternal_halfbrother': 2.0, 'atiq': 0, 'paternal_halfsister': 1.0, 'total_shares': 3.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/2', 'atiq': '0', 'paternal_halfsister_x2': '1/2'}",,"{'paternal_halfbrother': 2.0, 'atiq': 0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'maternal_halfsister': '1/6'}","{'paternal_halfbrother': '5/6', 'atiq': '0', 'maternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 5.0, 'atiq': 0, 'maternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'maternal_halfsister_x2': 'share 1/3'}","{'paternal_halfbrother': '2/3', 'atiq': '0', 'maternal_halfsister_x2': 'share 1/3'}",,"{'paternal_halfbrother': 4.0, 'atiq': 0, 'maternal_halfsister_1': 1.0, 'maternal_halfsister_2': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'wife': '1/4'}","{'paternal_halfbrother': '3/4', 'atiq': '0', 'wife': '1/4'}",,"{'paternal_halfbrother': 3.0, 'atiq': 0, 'wife': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'atiq': '0', 'mutiqa': '0'}","{'paternal_halfbrother': '1', 'atiq': '0', 'mutiqa': '0'}",,"{'paternal_halfbrother': 1.0, 'atiq': 0, 'mutiqa': 0, 'total_shares': 1.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'daughter_of_son': '1/6'}","{'paternal_halfbrother': '1/3', 'daughter': '1/2', 'daughter_of_son': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter': 3.0, 'daughter_of_son': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'daughter_of_son_x2': '1/6'}","{'paternal_halfbrother': '1/3', 'daughter': '1/2', 'daughter_of_son_x2': '1/6'}",,"{'paternal_halfbrother': 4.0, 'daughter': 6.0, 'daughter_of_son_1': 1.0, 'daughter_of_son_2': 1.0, 'total_shares': 12.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'mother': '1/6'}","{'paternal_halfbrother': '1/3', 'daughter': '1/2', 'mother': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter': 3.0, 'mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'grandmother_father': '1/6'}","{'paternal_halfbrother': '1/3', 'daughter': '1/2', 'grandmother_father': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter': 3.0, 'grandmother_father': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'grandmother_mother': '1/6'}","{'paternal_halfbrother': '1/3', 'daughter': '1/2', 'grandmother_mother': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter': 3.0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': '0', 'daughter': '1/2', 'sister': 'A'}","{'paternal_halfbrother': '0', 'daughter': '1/2', 'sister': '1/2'}",,"{'paternal_halfbrother': 0, 'daughter': 1.0, 'sister': 1.0, 'total_shares': 2.0}"
"{'paternal_halfbrother': '0', 'daughter': '1/2', 'sister_x2': 'A'}","{'paternal_halfbrother': '0', 'daughter': '1/2', 'sister_x2': '1/2'}",,"{'paternal_halfbrother': 0, 'daughter': 2.0, 'sister_1': 1.0, 'sister_2': 1.0, 'total_shares': 4.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'paternal_halfsister': 'A'}","{'paternal_halfbrother': '1/3', 'daughter': '1/2', 'paternal_halfsister': '1/6'}",,"{'paternal_halfbrother': 2.0, 'daughter': 3.0, 'paternal_halfsister': 1.0, 'total_shares': 6.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'paternal_halfsister_x2': 'A'}","{'paternal_halfbrother': '1/4', 'daughter': '1/2', 'paternal_halfsister_x2': '1/4'}",,"{'paternal_halfbrother': 2.0, 'daughter': 4.0, 'paternal_halfsister_1': 1.0, 'paternal_halfsister_2': 1.0, 'total_shares': 8.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'maternal_halfsister': '0'}","{'paternal_halfbrother': '1/2', 'daughter': '1/2', 'maternal_halfsister': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter': 1.0, 'maternal_halfsister': 0, 'total_shares': 2.0}"
"{'paternal_halfbrother': 'A', 'daughter': '1/2', 'maternal_halfsister_x2': '0'}","{'paternal_halfbrother': '1/2', 'daughter': '1/2', 'maternal_halfsister_x2': '0'}",,"{'paternal_halfbrother': 1.0, 'daughter': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 2.0}"
