Case,Asaba_Rad,Full_Case
"{'son': 'A', 'father': '1/6', 'son_of_fathers_brother': '0'}","{'son': '5/6', 'father': '1/6', 'son_of_fathers_brother': '0'}",,"{'son': 5.0, 'father': 1.0, 'son_of_fathers_brother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'son_of_fathers_paternal_halfbrother': '0'}","{'son': '5/6', 'father': '1/6', 'son_of_fathers_paternal_halfbrother': '0'}",,"{'son': 5.0, 'father': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'husband': '1/4'}","{'son': '7/12', 'father': '1/6', 'husband': '1/4'}",,"{'son': 7.0, 'father': 2.0, 'husband': 3.0, 'total_shares': 12.0}"
"{'son': 'A', 'father': '1/6', 'atiq': '0'}","{'son': '5/6', 'father': '1/6', 'atiq': '0'}",,"{'son': 5.0, 'father': 1.0, 'atiq': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'daughter': 'A'}","{'son': '5/9', 'father': '1/6', 'daughter': '5/18'}",,"{'son': 10.0, 'father': 3.0, 'daughter': 5.0, 'total_shares': 18.0}"
"{'son': 'A', 'father': '1/6', 'daughter_x2': 'A'}","{'son': '5/12', 'father': '1/6', 'daughter_x2': '5/12'}",,"{'son': 10.0, 'father': 4.0, 'daughter_1': 5.0, 'daughter_2': 5.0, 'total_shares': 24.0}"
"{'son': 'A', 'father': '1/6', 'daughter_of_son': '0'}","{'son': '5/6', 'father': '1/6', 'daughter_of_son': '0'}",,"{'son': 5.0, 'father': 1.0, 'daughter_of_son': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'daughter_of_son_x2': '0'}","{'son': '5/6', 'father': '1/6', 'daughter_of_son_x2': '0'}",,"{'son': 5.0, 'father': 1.0, 'daughter_of_son_1': 0, 'daughter_of_son_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'mother': '1/6'}","{'son': '2/3', 'father': '1/6', 'mother': '1/6'}",,"{'son': 4.0, 'father': 1.0, 'mother': 1.0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'grandmother_father': '0'}","{'son': '5/6', 'father': '1/6', 'grandmother_father': '0'}",,"{'son': 5.0, 'father': 1.0, 'grandmother_father': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'grandmother_mother': '1/6'}","{'son': '2/3', 'father': '1/6', 'grandmother_mother': '1/6'}",,"{'son': 4.0, 'father': 1.0, 'grandmother_mother': 1.0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'sister': '0'}","{'son': '5/6', 'father': '1/6', 'sister': '0'}",,"{'son': 5.0, 'father': 1.0, 'sister': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'sister_x2': '0'}","{'son': '5/6', 'father': '1/6', 'sister_x2': '0'}",,"{'son': 5.0, 'father': 1.0, 'sister_1': 0, 'sister_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'paternal_halfsister': '0'}","{'son': '5/6', 'father': '1/6', 'paternal_halfsister': '0'}",,"{'son': 5.0, 'father': 1.0, 'paternal_halfsister': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'paternal_halfsister_x2': '0'}","{'son': '5/6', 'father': '1/6', 'paternal_halfsister_x2': '0'}",,"{'son': 5.0, 'father': 1.0, 'paternal_halfsister_1': 0, 'paternal_halfsister_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'maternal_halfsister': '0'}","{'son': '5/6', 'father': '1/6', 'maternal_halfsister': '0'}",,"{'son': 5.0, 'father': 1.0, 'maternal_halfsister': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'maternal_halfsister_x2': '0'}","{'son': '5/6', 'father': '1/6', 'maternal_halfsister_x2': '0'}",,"{'son': 5.0, 'father': 1.0, 'maternal_halfsister_1': 0, 'maternal_halfsister_2': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father': '1/6', 'wife': '1/8'}","{'son': '17/24', 'father': '1/6', 'wife': '1/8'}",,"{'son': 17.0, 'father': 4.0, 'wife': 3.0, 'total_shares': 24.0}"
"{'son': 'A', 'father': '1/6', 'mutiqa': '0'}","{'son': '5/6', 'father': '1/6', 'mutiqa': '0'}",,"{'son': 5.0, 'father': 1.0, 'mutiqa': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/2', 'brother': 'A'}","{'son': '1/4', 'father_of_father': '1/2', 'brother': '1/4'}",,"{'son': 1.0, 'father_of_father': 2.0, 'brother': 1.0, 'total_shares': 4.0}"
"{'son': 'A', 'father_of_father': '1/2', 'paternal_halfbrother': 'A'}","{'son': '1/4', 'father_of_father': '1/2', 'paternal_halfbrother': '1/4'}",,"{'son': 1.0, 'father_of_father': 2.0, 'paternal_halfbrother': 1.0, 'total_shares': 4.0}"
"{'son': 'A', 'father_of_father': '1/6', 'maternal_halfbrother': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'maternal_halfbrother': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'maternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'nephew_brother': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'nephew_brother': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'nephew_brother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'nephew_paternal_halfbrother': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'nephew_paternal_halfbrother': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'nephew_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'fathers_brother': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'fathers_brother': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'fathers_brother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'fathers_paternal_halfbrother': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'fathers_paternal_halfbrother': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'fathers_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'son_of_fathers_brother': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'son_of_fathers_brother': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'son_of_fathers_brother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'son_of_fathers_paternal_halfbrother': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'son_of_fathers_paternal_halfbrother': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'son_of_fathers_paternal_halfbrother': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'husband': '1/4'}","{'son': '7/12', 'father_of_father': '1/6', 'husband': '1/4'}",,"{'son': 7.0, 'father_of_father': 2.0, 'husband': 3.0, 'total_shares': 12.0}"
"{'son': 'A', 'father_of_father': '1/6', 'atiq': '0'}","{'son': '5/6', 'father_of_father': '1/6', 'atiq': '0'}",,"{'son': 5.0, 'father_of_father': 1.0, 'atiq': 0, 'total_shares': 6.0}"
"{'son': 'A', 'father_of_father': '1/6', 'daughter': 'A'}","{'son': '5/9', 'father_of_father': '1/6', 'daughter': '5/18'}",,"{'son': 10.0, 'father_of_father': 3.0, 'daughter': 5.0, 'total_shares': 18.0}"
